time,AccelerometerX,AccelerometerY,AccelerometerZ,LinearX,LinearY,LinearZ,GyroX,GyroY,GyroZ
6.55,0.8451532,6.941988,6.027403,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
6.63,0.8451532,6.941988,6.027403,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
6.72,1.423353,6.4739213,6.3913217,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
6.8,1.423353,6.4739213,6.3913217,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
6.89,1.423353,6.4739213,6.3913217,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
6.97,1.5981296,6.208165,7.619547,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
7.06,1.5981296,6.208165,7.619547,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
7.14,1.4305356,6.968324,6.4416,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
7.22,1.4305356,6.968324,6.4416,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
7.3,1.4305356,6.968324,6.4416,1.4943964,1.0562682,-1.6671638,-0.39521313,0.62531024,0.10546118
7.38,1.9237411,7.074866,5.483919,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
7.46,1.9237411,7.074866,5.483919,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
7.54,2.4432828,6.411672,7.1383123,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
7.62,2.4432828,6.411672,7.1383123,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
7.7,2.4432828,6.411672,7.1383123,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
7.78,2.930503,6.173449,7.171831,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
7.86,2.930503,6.173449,7.171831,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
7.94,2.930503,6.173449,7.171831,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
8.02,2.5570073,6.4523735,6.8665705,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
8.1,2.5570073,6.4523735,6.8665705,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
8.18,2.2301989,6.455965,6.5505357,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
8.26,2.2301989,6.455965,6.5505357,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
8.34,2.2301989,6.455965,6.5505357,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
8.42,2.3199813,6.206968,7.7093296,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
8.5,2.3199813,6.206968,7.7093296,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
8.58,2.3199813,6.206968,7.7093296,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
8.66,2.2469583,6.1064115,7.0928226,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
8.74,2.2469583,6.1064115,7.0928226,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
8.83,2.6431987,6.3745623,7.00304,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
8.91,2.6431987,6.3745623,7.00304,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
8.99,2.6431987,6.3745623,7.00304,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
9.07,1.899799,6.443994,6.6307416,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
9.15,1.899799,6.443994,6.6307416,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
9.23,1.899799,6.443994,6.6307416,1.4476025,1.6434364,-2.6673536,0.16085494,-0.2972088,0.33981937
9.31,2.0446482,6.530185,6.457162,1.4589785,1.0466805,-1.6520014,-0.4463458,0.056459017,0.033023197
9.39,2.0446482,6.530185,6.457162,1.4589785,1.0466805,-1.6520014,-0.4463458,0.056459017,0.033023197
9.48,2.4779987,6.1303535,8.236053,1.4589785,1.0466805,-1.6520014,-0.4463458,0.056459017,0.033023197
9.56,2.4779987,6.1303535,8.236053,1.4589785,1.0466805,-1.6520014,-0.4463458,0.056459017,0.033023197
9.64,2.4779987,6.1303535,8.236053,1.4589785,1.0466805,-1.6520014,-0.4463458,0.056459017,0.033023197
9.72,2.9472623,5.659893,9.5492735,1.4589785,1.0466805,-1.6520014,-0.4463458,0.056459017,0.033023197
9.81,2.9472623,5.659893,9.5492735,1.4589785,1.0466805,-1.6520014,-0.4463458,0.056459017,0.033023197
9.89,2.148796,5.9364233,8.564059,1.4589785,1.0466805,-1.6520014,-0.4463458,0.056459017,0.033023197
9.97,2.148796,5.9364233,8.564059,1.4589785,1.0466805,-1.6520014,-0.4463458,0.056459017,0.033023197
10.05,2.148796,5.9364233,8.564059,1.4589785,1.0466805,-1.6520014,-0.4463458,0.056459017,0.033023197
10.13,1.6172832,6.363788,7.3286514,1.4589785,1.0466805,-1.6520014,-0.4463458,0.056459017,0.033023197
10.21,1.6172832,6.363788,7.3286514,1.4589785,1.0466805,-1.6520014,-0.4463458,0.056459017,0.033023197
10.29,1.5442601,6.3182983,7.524976,1.4589785,1.0466805,-1.6520014,-0.4463458,0.056459017,0.033023197
10.37,1.5442601,6.3182983,7.524976,1.4589785,1.0466805,-1.6520014,-0.4463458,0.056459017,0.033023197
10.45,1.5442601,6.3182983,7.524976,1.4589785,1.0466805,-1.6520014,-0.4463458,0.056459017,0.033023197
10.54,1.6651673,6.0848637,7.843405,1.4589785,1.0466805,-1.6520014,-0.4463458,0.056459017,0.033023197
