time,AccelerometerX,AccelerometerY,AccelerometerZ,LinearX,LinearY,LinearZ,GyroX,GyroY,GyroZ
0.337,0.2955,0.5719,0.785,0.244623899,0.141400024,0.104538329,-0.019165039,-0.01703559,-0.007453071
0.338,0.2955,0.5719,0.785,0.244623899,0.141400024,0.104538329,-0.019165039,-0.015970865,0.008517795
0.338,0.2955,0.5719,0.785,0.244623899,0.141400024,0.104538329,-0.024488661,0,0.018100316
0.338,0.2955,0.5719,0.785,0.244623899,0.141400024,0.104538329,-0.028747559,0.021294488,0.018100316
0.338,0.2955,0.5719,0.785,0.244623899,0.141400024,0.104538329,-0.028747559,0.021294488,0.018100316
0.338,0.2955,0.5719,0.785,-0.197628513,0.04949538,0.143740237,-0.028747559,0.021294488,0.018100316
0.416,0.2859,0.5543,0.793,-0.197628513,0.04949538,0.143740237,-0.028747559,0.021294488,0.018100316
0.416,0.2627,0.5413,0.7996,-0.197628513,0.04949538,0.143740237,-0.028747559,0.021294488,0.018100316
0.416,0.2635,0.5506,0.7935,-0.197628513,0.04949538,0.143740237,-0.028747559,0.021294488,0.018100316
0.416,0.2776,0.5538,0.7928,-0.197628513,0.04949538,0.143740237,-0.028747559,0.021294488,0.018100316
0.417,0.2776,0.5538,0.7928,-0.197628513,0.04949538,0.143740237,-0.031941731,0.031941731,0.005323622
0.417,0.2776,0.5538,0.7928,-0.197628513,0.04949538,0.143740237,-0.031941731,0.02661811,-0.013841418
0.417,0.2776,0.5538,0.7928,-0.197628513,0.04949538,0.143740237,-0.028747559,0.002129449,-0.031941731
0.418,0.2776,0.5538,0.7928,-0.197628513,0.04949538,0.143740237,-0.025553387,-0.023423936,-0.036200631
0.418,0.2776,0.5538,0.7928,-0.197628513,0.04949538,0.143740237,-0.025553387,-0.036200631,-0.033006456
0.418,0.2776,0.5538,0.7928,-0.197628513,0.04949538,0.143740237,-0.02661811,-0.050042048,-0.029812284
0.419,0.2776,0.5538,0.7928,-0.197628513,0.04949538,0.143740237,-0.024488661,-0.069207087,-0.031941731
0.419,0.2776,0.5538,0.7928,-0.197628513,0.04949538,0.143740237,-0.019165039,-0.079854332,-0.036200631
0.419,0.2776,0.5538,0.7928,-0.197628513,0.04949538,0.143740237,-0.019165039,-0.079854332,-0.036200631
0.419,0.2776,0.5538,0.7928,-0.146955192,-0.029013097,0.076723963,-0.019165039,-0.079854332,-0.036200631
0.451,0.2776,0.5538,0.7928,-0.146955192,-0.029013097,0.076723963,-0.019165039,-0.079854332,-0.036200631
0.495,0.2813,0.5582,0.7842,-0.146955192,-0.029013097,0.076723963,-0.019165039,-0.079854332,-0.036200631
0.496,0.2801,0.5504,0.7896,-0.146955192,-0.029013097,0.076723963,-0.019165039,-0.079854332,-0.036200631
0.496,0.2732,0.5472,0.7847,-0.146955192,-0.029013097,0.076723963,-0.019165039,-0.079854332,-0.036200631
0.496,0.2679,0.5533,0.7811,-0.146955192,-0.029013097,0.076723963,-0.019165039,-0.079854332,-0.036200631
0.497,0.2679,0.5533,0.7811,-0.146955192,-0.029013097,0.076723963,-0.018100316,-0.073465981,-0.038330078
0.497,0.2679,0.5533,0.7811,-0.146955192,-0.029013097,0.076723963,-0.015970865,-0.066012911,-0.043653701
0.497,0.2679,0.5533,0.7811,-0.146955192,-0.029013097,0.076723963,-0.011711968,-0.064948186,-0.05536567
0.497,0.2679,0.5533,0.7811,-0.146955192,-0.029013097,0.076723963,-0.004258898,-0.068142362,-0.070271812
0.498,0.2679,0.5533,0.7811,-0.146955192,-0.029013097,0.076723963,0.002129449,-0.072401263,-0.078789607
0.498,0.2679,0.5533,0.7811,-0.146955192,-0.029013097,0.076723963,0.005323622,-0.079854332,-0.076660156
0.498,0.2679,0.5533,0.7811,-0.146955192,-0.029013097,0.076723963,0.007453071,-0.088372126,-0.070271812
0.499,0.2679,0.5533,0.7811,-0.146955192,-0.029013097,0.076723963,0.012776693,-0.097954646,-0.067077637
0.499,0.2679,0.5533,0.7811,-0.146955192,-0.029013097,0.076723963,0.012776693,-0.097954646,-0.067077637
0.499,0.2679,0.5533,0.7811,-0.011051814,0.056549754,-0.013455771,0.012776693,-0.097954646,-0.067077637
0.519,0.2679,0.5533,0.7811,-0.011051814,0.056549754,-0.013455771,0.012776693,-0.097954646,-0.067077637
0.574,0.2774,0.5641,0.7845,-0.011051814,0.056549754,-0.013455771,0.012776693,-0.097954646,-0.067077637
0.574,0.2872,0.5697,0.782,-0.011051814,0.056549754,-0.013455771,0.012776693,-0.097954646,-0.067077637
0.574,0.2935,0.5699,0.7828,-0.011051814,0.056549754,-0.013455771,0.012776693,-0.097954646,-0.067077637
0.574,0.2928,0.5579,0.7884,-0.011051814,0.056549754,-0.013455771,0.012776693,-0.097954646,-0.067077637
0.592,0.2928,0.5579,0.7884,-0.011051814,0.056549754,-0.013455771,0.015970865,-0.107537165,-0.063883461
0.592,0.2928,0.5579,0.7884,-0.011051814,0.056549754,-0.013455771,0.018100316,-0.105407715,-0.058559842
0.593,0.2928,0.5579,0.7884,-0.011051814,0.056549754,-0.013455771,0.018100316,-0.097954646,-0.057495117
0.593,0.2928,0.5579,0.7884,-0.011051814,0.056549754,-0.013455771,0.021294488,-0.0830485,-0.05536567
0.593,0.2928,0.5579,0.7884,-0.011051814,0.056549754,-0.013455771,0.025553387,-0.070271812,-0.05536567
0.593,0.2928,0.5579,0.7884,-0.011051814,0.056549754,-0.013455771,0.02661811,-0.058559842,-0.057495117
0.594,0.2928,0.5579,0.7884,-0.011051814,0.056549754,-0.013455771,0.024488661,-0.052171495,-0.063883461
0.594,0.2928,0.5579,0.7884,-0.011051814,0.056549754,-0.013455771,0.019165039,-0.059624568,-0.077724881
0.594,0.2928,0.5579,0.7884,-0.011051814,0.056549754,-0.013455771,0.019165039,-0.059624568,-0.077724881
0.616,0.2928,0.5579,0.7884,0.028947407,0.219527528,-0.059765138,0.019165039,-0.059624568,-0.077724881
0.656,0.2742,0.5614,0.795,0.028947407,0.219527528,-0.059765138,0.019165039,-0.059624568,-0.077724881
0.657,0.2693,0.5658,0.795,0.028947407,0.219527528,-0.059765138,0.019165039,-0.059624568,-0.077724881
